Date,Property,Unit,Category,Amount,Paid?,Vendor,Notes
2023-04-05,Leslieville Fourplex,Unit 4,Pest Control,294.21,Y,Queen West Pest Control,Follow-up treatment
"Apr 20, 2023",Danforth Triplex,Common area,Appliance,281.09,Y,Riverdale Appliance Repair,Dryer belt replaced
10/04/2023,Danforth Triplex,Lower,Cooling,523.76,Y,Don Valley HVAC,Window unit replaced
2023-05-03,Danforth Triplex,Main,Rent,2204.00,Y,,
2023-05-01  ,Danforth Triplex,Upper,Rent,2460.00,Y,,
2023-05-02,danforth triplex,Lower,Rent,1691.00,Y,,
2023-05-02,Leslieville Fourplex,Unit 1,Rent,"$1,947.00",Yes,,
2023-05-01,Leslieville Fourplex,Unit 2,Rent,1999.00,Y,,
"May 5, 2023",Leslieville Fourplex,Unit 3,Rent,2101,Y,,
2023/05/03,Leslieville Fourplex,Unit 4,Rent,2306,Y,,
2023-05-01,Parkdale Walk-Up,Unit 1,Rent,1589,Yes,,
"May 5, 2023",Parkdale Walk-Up,Unit 2,Rent,"$1,635.00",yes,,
2023-05-01,Parkdale Walk-Up,Unit 3,Rent,1681,yes,,
05/05/2023,Parkdale Walk-Up,Unit 4,Rent,1727,Yes,,
"May 2, 2023",Parkdale Walk-Up,Unit 5,Rent,1773.00,Y,,
2023-05-01,Parkdale Walk-Up,Unit 6,Rent,1819,Y,,
"May 5, 2023",Parkdale Walk-Up,Unit 7,Rent,1865,Y,,
01/05/2023,parkdale walk-up,Unit 8,Rent,1912,Y,,
2023-05-01,Parkdale Walk-Up,Unit 9,Rent,1958.00,Y,,
2023-05-01,Parkdale Walk-Up,Unit 10,Rent,2004.00,Y,,
2023-05-01,Parkdale Walk-Up,Unit 10,Rent,2004.00,Y,,
"May 2, 2023",Parkdale Walk-Up,Unit 11,Rent,2050.00,Y,,
2023-05-01,Parkdale Walk-Up,Unit 12,Rent,2096.00,Y,,
2023-05-11,Leslieville Fourplex,Unit 3,Heating,$212.99,N,Don Valley HVAC,Replaced furnace igniter
2023-05-16,Leslieville Fourplex,Unit 2,Plumbing,234.96,TRUE,Beaches Plumbing Co.,Cleared bathroom drain
2023-05-16,Leslieville Fourplex,Unit 2,Plumbing,234.96,TRUE,Beaches Plumbing Co.,Cleared bathroom drain
2023-05-25,Leslieville Fourplex,Unit 3,Electrical,348.71,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2023-05-10,Leslieville Fourplex,Unit 3,Landscaping,171.22,N,Greenwood Cleaning,Lawn cut and edging
2023-05-24,Danforth Triplex,Lower,Cleaning,90.29,TRUE,Greenwood Cleaning,Turnover clean
2023-05-03,Leslieville Fourplex,Unit 1, Pest Control ,286.75,Y,Queen West Pest Control,"Mice treatment, basement"
2023-05-02,Danforth Triplex,Lower,Landscaping,270.65,yes,Greenwood Cleaning,Leaf cleanup
2023-05-25,Parkdale Walk-Up,Unit 11,Cleaning,162.07,Y,Greenwood Cleaning,Turnover clean
2023-05-20,Danforth Triplex,Lower,Landscaping,102.41,Y,Greenwood Cleaning,Leaf cleanup
2023/05/31,Leslieville Fourplex,Common area,Appliance,112.94,TRUE,Riverdale Appliance Repair,Fridge not cooling
07/05/2023,Parkdale Walk-Up,Unit 3,Heating,748.17,Y,Don Valley HVAC,Bled radiators
2023-05-26,Parkdale Walk-Up,Unit 2,plumbing,367.66,Yes,Beaches Plumbing Co.,Replaced shut-off valve
2023-05-03,Danforth Triplex,Upper,Cleaning,$134.75,Yes,Greenwood Cleaning,Turnover clean
2023-05-15,Parkdale Walk-Up,Unit 6,Appliance,377.60,TRUE,Riverdale Appliance Repair,Dryer belt replaced
2023-05-16,Leslieville Fourplex,Unit 1,Pest Control,235.73,N,Queen West Pest Control,Follow-up treatment
2023-06-01,Danforth Triplex,Main,Rent,2204,yes,,
2023-06-01,Danforth Triplex,Main,Rent,2204,yes,,
2023-06-02,danforth triplex,Upper,Rent,2460.00,TRUE,,
2023-06-01,Danforth Triplex,Lower,Rent,1691,Y,,
2023-06-05,Leslieville Fourplex,Unit 1,Rent,1947.00,Y,,
2023-06-01,Leslieville Fourplex,Unit 2,Rent,1999,Y,,
02/06/2023,Leslieville Fourplex,Unit 3,Rent,2101,Y,,
2023-06-01,Leslieville Fourplex,Unit 4,Rent,2306.00,Y,,
01/06/2023,Parkdale Walk-Up,Unit 1,Rent,1589,Yes,,
2023/06/05,Parkdale Walk-Up,Unit 2,Rent,1635,Y,,
2023-06-02, Parkdale Walk-Up ,Unit 3,Rent,1681,Y,,
2023-06-03,Parkdale Walk-Up,Unit 4, Rent ,1727.00,N,,
2023-06-01,Parkdale Walk-Up,Unit 5,Rent,1773,Y,,
2023-06-01,Parkdale Walk-Up,Unit 6,Rent,1819.00,Y,,
03/06/2023,Parkdale Walk-Up,Unit 7,Rent,1865.00,Y,,
2023-06-01,Parkdale Walk-Up,Unit 8,Rent,1912.00,Yes,,
2023-06-02,Parkdale Walk-Up,Unit 9,Rent,1958,Y,,
2023-06-05,Parkdale Walk-Up,Unit 10,Rent,2004,Yes,,
2023-06-01,Parkdale Walk-Up,Unit 11,Rent,2050,Y,,
2023-06-05,Parkdale Walk-Up,Unit 12,Rent,2096.00,Y,,
2023-06-26,Parkdale Walk-Up,Unit 4,Appliance,568.65,Y,Riverdale Appliance Repair,Dryer belt replaced
2023-06-24,Leslieville Fourplex,Common area,Electrical,383.64,Y, Leslieville Electric Ltd,Swapped hallway light fixture
2023-06-29,Parkdale Walk-Up,Unit 7,Plumbing,344.83,yes,Beaches Plumbing Co.,Fixed running toilet
2023-06-08,Leslieville Fourplex,Unit 1,Cooling,$350.85,yes,Don Valley HVAC,"AC not cooling, recharged"
2023-06-25,Danforth Triplex,Main,Pest Control,365.93,Yes,Queen West Pest Control,"Mice treatment, basement"
2023-06-12,Danforth Triplex,Main,Appliance,168.88,yes,Riverdale Appliance Repair,Stove element replaced
2023-06-24,Parkdale Walk-Up,Unit 11,Plumbing,355.92,N,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
28/06/2023,Danforth Triplex,Upper,Cleaning,154.07,Yes,Greenwood Cleaning,Common area clean
2023-06-14,Leslieville Fourplex,Unit 4,Cleaning,244.97,Y,Greenwood Cleaning,Turnover clean
2023-06-01,Danforth Triplex,Upper,Cleaning,$160.89,Yes,Greenwood Cleaning,Turnover clean
2023-06-05,Leslieville Fourplex,Unit 2,Landscaping,287.32,N,Greenwood Cleaning,Lawn cut and edging
2023-06-20,Leslieville Fourplex,Unit 4,Heating,612.28,Y,Don Valley HVAC,Furnace service
2023-06-22,Danforth Triplex,Main,Appliance,312.87,Y, Riverdale Appliance Repair,Stove element replaced
2023-06-18,Parkdale Walk-Up,Unit 4, Plumbing ,183.39,N,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2023-06-14,Parkdale Walk-Up,Unit 8,Cleaning,259.28,Y,Greenwood Cleaning,Common area clean
2023-06-21,Danforth Triplex,Lower,Landscaping,171.61,Y,Greenwood Cleaning,Lawn cut and edging
2023-06-06,Parkdale Walk-Up,Unit 4,Pest Control,351.77,Y,Queen West Pest Control,Follow-up treatment
"Jun 8, 2023",PARKDALE WALK-UP,Unit 8,Cleaning,$74.24,Y,Greenwood Cleaning,Turnover clean
2023-06-12,Leslieville Fourplex,Unit 1,Cooling,364.76,Y,Don Valley HVAC,Window unit replaced
2023-06-19,DANFORTH TRIPLEX,Lower,Cleaning,132.69,Y,Greenwood Cleaning,Turnover clean
2023-06-23,Parkdale Walk-Up,Unit 5,Cooling,290.49,Y,Don Valley HVAC,"AC not cooling, recharged"
2023-06-19,Parkdale Walk-Up,Unit 4,plumbing,281.66,TRUE,Beaches Plumbing Co.,Fixed running toilet
2023-06-04,Leslieville Fourplex,Unit 1,Cleaning,228.31,Y,Greenwood Cleaning,Turnover clean
01/07/2023,Danforth Triplex,Main,Rent,2204,Y,,
2023/07/01,Leslieville Fourplex,Unit 1,Rent,1947.00,Y,,
2023-07-01,Leslieville Fourplex,Unit 3,Rent,2101.00,Y,,
2023-07-01,Leslieville Fourplex,Unit 4,Rent,2306,Yes,,
2023-07-01,Parkdale Walk-Up,Unit 1,Rent,1589,Y,,
2023-07-01,Parkdale Walk-Up,Unit 2,Rent,1635,Yes,,
2023-07-01,PARKDALE WALK-UP,Unit 3,Rent,1681.00,Y,,
2023-07-02,Parkdale Walk-Up,Unit 4,Rent,1727.00,TRUE,,
2023-07-01,Parkdale Walk-Up,Unit 5,Rent,1773.00,TRUE,,
02/07/2023,Parkdale Walk-Up,Unit 6,Rent,1819.00,TRUE,,
"Jul 5, 2023",Parkdale Walk-Up,Unit 7,Rent,1865,yes,,
2023-07-03,Parkdale Walk-Up,Unit 8,Rent,1912,N,,
2023-07-02,Parkdale Walk-Up,Unit 9,Rent,1958,yes,,
2023-07-01,Parkdale Walk-Up,Unit 10,Rent,2004.00,Y,,
2023-07-01,Parkdale Walk-Up,Unit 11,Rent,2050,Y,,
2023-07-05,Parkdale Walk-Up,Unit 12,Rent,2096.00,Y,,
"Jul 9, 2023", Danforth Triplex ,Lower,Cooling,243.89,yes,Don Valley HVAC,Window unit replaced
2023-07-08,Danforth Triplex,Lower,Plumbing,330.63,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2023-07-14,Parkdale Walk-Up,Common area,Cooling,460.89,Y,Don Valley HVAC,"AC not cooling, recharged"
16/07/2023,LESLIEVILLE FOURPLEX,Unit 4,Cooling,347.66,Yes,Don Valley HVAC,"AC not cooling, recharged  "
2023-07-30,Danforth Triplex,Main,Electrical,541.66,Y,Leslieville Electric Ltd  ,Replaced GFCI outlet
2023-07-27,Parkdale Walk-Up,Unit 8,Landscaping,205.61,N, Greenwood Cleaning, Leaf cleanup
2023-07-28,DANFORTH TRIPLEX,Common area,Plumbing,358.03,TRUE,Beaches Plumbing Co.,Cleared bathroom drain
2023-07-12,Parkdale Walk-Up,Unit 6,Appliance,304.44,TRUE,Riverdale Appliance Repair,Dryer belt replaced
2023-07-08,Danforth Triplex,Upper, Pest Control ,218,Y,Queen West Pest Control,Follow-up treatment
2023/07/20,Danforth Triplex,Upper,appliance,251.42,Y,Riverdale Appliance Repair,Stove element replaced
2023-07-19,Danforth Triplex,Main, Electrical ,$358.51,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2023-07-30,Parkdale Walk-Up,Unit 9,Cooling,617.84,Y,Don Valley HVAC,"AC not cooling, recharged"
2023-07-05,Leslieville Fourplex,Common area,LANDSCAPING,144.99,Y,Greenwood Cleaning,Leaf cleanup
2023/07/11, Parkdale Walk-Up ,Unit 8,electrical,595.88,Y,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2023-07-01,Danforth Triplex,Lower,Plumbing,$403.51,Y,Beaches Plumbing Co.,Fixed running toilet
2023-07-24,Leslieville Fourplex,Common area,Appliance,$359.47,Y,Riverdale Appliance Repair,Dryer belt replaced
2023-07-20,Parkdale Walk-Up,Unit 2,Plumbing,TBD,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2023-07-19,Parkdale Walk-Up,Unit 3,Electrical,477.90,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2023-07-02,Parkdale Walk-Up,Common area,Plumbing,40.00,Y,Beaches Plumbing Co.  ,Replaced kitchen faucet cartridge
01/07/2023,Danforth Triplex,Lower,Plumbing,260.24,Y,Beaches Plumbing Co.,Fixed running toilet
2023-07-14,Danforth Triplex,Lower,Electrical,451.37,TRUE,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2023-08-02,Danforth Triplex,Main,Rent,2204,Y,,
2023/08/03,Danforth Triplex,Upper,Rent,2460,N,,
2023/08/01,Danforth Triplex,Lower,Rent,1691,Yes,,
2023-08-03,Leslieville Fourplex,Unit 1,Rent,1947,Yes,,
2023-08-01,Leslieville Fourplex,Unit 2,Rent,1999.00,Y,,
2023-08-05,Leslieville Fourplex,Unit 4,Rent,2306,yes,,
2023-08-02,Parkdale Walk-Up,Unit 1,Rent,1589,TRUE,,
03/08/2023,Parkdale Walk-Up,Unit 2,Rent,1635.00,TRUE,,
2023-08-02,Parkdale Walk-Up,Unit 3,Rent,1681.00,Yes,,
2023-08-05,Parkdale Walk-Up,Unit 4,Rent,"$1,727.00",Y,,
2023-08-01,Parkdale Walk-Up,Unit 5,Rent,1773,Yes,,
2023-08-01,Parkdale Walk-Up,Unit 6,Rent,1819,Y,,
2023-08-01,Parkdale Walk-Up,Unit 7,Rent,1865.00,Y,,
2023-08-05,Parkdale Walk-Up,Unit 8,Rent,"$1,912.00",Yes,,
2023-08-01,Parkdale Walk-Up,Unit 9,Rent,1958.00,Y,,
2023-08-05,Parkdale Walk-Up,Unit 10,Rent,2004.00,Y,,
2023-08-01,Parkdale Walk-Up,Unit 11,Rent,2050,Y,,
2023-08-05,Parkdale Walk-Up,Unit 12,Rent,"$2,096.00",Y,,
2023-08-22,Leslieville Fourplex,Common area,Plumbing,357.91,Y,Beaches Plumbing Co.,Fixed running toilet
2023-08-17,Parkdale Walk-Up,Unit 12,Landscaping,164.42,Y,Greenwood Cleaning,Leaf cleanup
2023-08-02,Parkdale Walk-Up,Common area,Cleaning,138.23,FALSE, Greenwood Cleaning,Common area clean
2023/08/09,Parkdale Walk-Up,Unit 3,Plumbing,256.89,Y,Beaches Plumbing Co.,Fixed running toilet
2023-08-04,Leslieville Fourplex,Unit 2, Cooling ,615.64,Y,Don Valley HVAC,"AC not cooling, recharged"
2023-08-28,Leslieville Fourplex,Unit 4,Cleaning,58.93,Y,Greenwood Cleaning,Common area clean
28/08/2023,Parkdale Walk-Up,Unit 5,Appliance,238.08,Y,Riverdale Appliance Repair,Dryer belt replaced
2023-08-18,Danforth Triplex,Lower,Pest Control,259.23,Y,Queen West Pest Control,Follow-up treatment
2023-08-03,Parkdale Walk-Up,Unit 8,Plumbing,298.98,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
15/08/2023,Parkdale Walk-Up,Unit 3,Appliance,369.48,TRUE,Riverdale Appliance Repair  ,Stove element replaced
2023-08-10,Parkdale Walk-Up,Unit 3,Appliance,295.85,TRUE,Riverdale Appliance Repair,Fridge not cooling
2023-08-10,Parkdale Walk-Up,Unit 3,Appliance,295.85,TRUE,Riverdale Appliance Repair,Fridge not cooling
2023-08-18,Leslieville Fourplex,Unit 1,Plumbing,410.76,yes,Beaches Plumbing Co.,Cleared bathroom drain
2023-08-26, Danforth Triplex ,Common area,Appliance,199.76,Y,Riverdale Appliance Repair,Fridge not cooling
2023-08-11,Parkdale Walk-Up,Unit 7,Snow Removal,191.81,Y,Snowline Property Services,Walkway and steps cleared
2023-08-05,Danforth Triplex,Lower,Cooling,250.99,yes,Don Valley HVAC,Window unit replaced
2023-08-23,Leslieville Fourplex,Unit 3,Appliance,217.70,Y,Riverdale Appliance Repair,Fridge not cooling
 2023-08-23,Leslieville Fourplex,Unit 1,Cleaning,154.22,Y,Greenwood Cleaning,Common area clean
2023-08-27,Parkdale Walk-Up,Unit 6,Cooling,268.55,Y,Don Valley HVAC,Window unit replaced
08/08/2023,Danforth Triplex,Upper,Cleaning,188.90,Y,Greenwood Cleaning,Turnover clean
2023-08-28,Danforth Triplex,Lower,cooling,576.22,Y,Don Valley HVAC,"AC not cooling, recharged"
2023-09-03,Danforth Triplex,Main,Rent,2204,Y,,
 2023-09-03,Danforth Triplex,Upper,Rent,2460,No,,
2023-09-02,Danforth Triplex,Lower,Rent,"$1,691.00",Y,,
2023/09/05,Leslieville Fourplex,Unit 1,Rent,1947,TRUE,,
2023-09-01, Leslieville Fourplex ,Unit 2,Rent,1999.00,TRUE,,
2023-09-01,Leslieville Fourplex,Unit 3,Rent,2101,Y,,
"Sep 2, 2023",Leslieville Fourplex,Unit 4,Rent,2306.00,Yes,,
2023/09/01,Parkdale Walk-Up,Unit 1,Rent,"$1,589.00",Y,,
2023-09-03,Parkdale Walk-Up,Unit 2,Rent,1635,Y,,
2023-09-05,Parkdale Walk-Up,Unit 3,Rent,1681,Y,,
2023-09-01,Parkdale Walk-Up,Unit 4,Rent,1727.00,Y,,
2023-09-01,Parkdale Walk-Up,Unit 5,Rent,1773,Y,,
2023-09-01,Parkdale Walk-Up,Unit 6,Rent,1819,TRUE,,
03/09/2023,Parkdale Walk-Up,Unit 7,Rent,1865.00,Yes,,
01/09/2023,Parkdale Walk-Up,Unit 8,Rent,1912.00,Y,,
2023/09/05,Parkdale Walk-Up,Unit 9,Rent,1958,Yes,,
2023-09-03,Parkdale Walk-Up,Unit 10,Rent,2004,Yes,,
2023-09-02,Parkdale Walk-Up,Unit 11,Rent,2050,Y,,
2023-09-25,Parkdale Walk-Up,Unit 12,Pest Control,$253.98,Y,Queen West Pest Control,Follow-up treatment
"Sep 5, 2023",Danforth Triplex,Upper,Electrical,224.62,Y,Leslieville Electric Ltd,Replaced GFCI outlet
"Sep 14, 2023",Leslieville Fourplex,Unit 2,Appliance,312.01,N,Riverdale Appliance Repair  ,Fridge not cooling
20/09/2023,Danforth Triplex,Main,Plumbing,300.49,Y,Beaches Plumbing Co.,Fixed running toilet
2023-09-29,Parkdale Walk-Up,Unit 4,Pest Control,334.95,Y,Queen West Pest Control,Follow-up treatment
2023-09-08,Parkdale Walk-Up,Unit 6,CLEANING,132.92,TRUE,Greenwood Cleaning,Common area clean
18/09/2023,Danforth Triplex,Main,Landscaping,223.13,Yes,Greenwood Cleaning,Leaf cleanup
2023-09-06,Danforth Triplex,Lower,Appliance,$419.93,Y,Riverdale Appliance Repair,Stove element replaced  
2023-09-06,Danforth Triplex,Lower,Appliance,$419.93,Y,Riverdale Appliance Repair,Stove element replaced  
2023-09-20,Danforth Triplex,Main,Landscaping,277.15,Y,Greenwood Cleaning,Leaf cleanup
2023-09-28,Danforth Triplex,Main,plumbing,N/A,Y,Beaches Plumbing Co.,Replaced shut-off valve
2023-09-08,Leslieville Fourplex,Common area,Landscaping,262.51,Yes,Greenwood Cleaning,Lawn cut and edging
2023-09-12,Leslieville Fourplex,Unit 3,Landscaping,372.28,Yes,Greenwood Cleaning,Lawn cut and edging
2023-09-15,Leslieville Fourplex,Unit 3,Cleaning,131.08,Y,Greenwood Cleaning,Common area clean
2023-09-01,DANFORTH TRIPLEX,Common area,Appliance,482.21,yes,Riverdale Appliance Repair,Stove element replaced
2023-09-27,Danforth Triplex,Main,Plumbing,$78.09,N,Beaches Plumbing Co.,Fixed running toilet
2023-09-05,Parkdale Walk-Up,Unit 5,Appliance,190.11,Yes,Riverdale Appliance Repair,Dryer belt replaced
2023-09-28,Parkdale Walk-Up,Unit 4,PEST CONTROL,40,Y,Queen West Pest Control,"Mice treatment, basement"
2023-09-06,Leslieville Fourplex,Unit 4,Landscaping,174.05,Y, Greenwood Cleaning,Leaf cleanup
01/09/2023,Danforth Triplex,Lower,Electrical,277.60,N,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2023-09-30,Leslieville Fourplex,Unit 4,Cleaning,210.99,Yes,Greenwood Cleaning,Turnover clean
2023-09-12,Parkdale Walk-Up,Unit 4,Pest Control,295.06,Yes,Queen West Pest Control,"Mice treatment, basement"
2023-10-01,Danforth Triplex,Main,Rent,2204.00,Y,,
2023-10-01,Danforth Triplex,Upper,Rent,"$2,460.00",Y,,
2023-10-05,danforth triplex,Lower,Rent,1691,Y,,
2023-10-03,Leslieville Fourplex,Unit 1,Rent,1947.00,yes,,
2023/10/01,Leslieville Fourplex,Unit 2,Rent,1999.00,Yes,,
"Oct 1, 2023",Leslieville Fourplex,Unit 3,Rent,2101.00,Y,,
02/10/2023,Leslieville Fourplex,Unit 4,Rent,2306.00,Y,,
2023-10-02,Parkdale Walk-Up,Unit 1,Rent,1589,Y,,
2023-10-01,Parkdale Walk-Up,Unit 2,Rent,1635.00,TRUE,,
2023-10-02,parkdale walk-up,Unit 3,Rent,1681.00,yes,,
01/10/2023,Parkdale Walk-Up,Unit 4,Rent,1727.00,Y,,
2023-10-05,Parkdale Walk-Up,Unit 5,Rent,1773.00,Yes,,
2023/10/03,Parkdale Walk-Up,Unit 6,Rent,1819,Y,,
2023-10-05, Parkdale Walk-Up ,Unit 7,Rent,1865,yes,,
2023-10-01,Parkdale Walk-Up,Unit 8,Rent,1912,yes,,
01/10/2023,parkdale walk-up,Unit 9, Rent ,1958.00,N,,
"Oct 3, 2023",Parkdale Walk-Up,Unit 10,Rent,2004,Y,,
2023-10-05,Parkdale Walk-Up,Unit 11,Rent,2050.00,Yes,,
"Oct 5, 2023",Parkdale Walk-Up,Unit 12,Rent,2096,Y,,
2023-10-15,Leslieville Fourplex,Unit 4,Cooling,366.38,TRUE,Don Valley HVAC,"AC not cooling, recharged"
12/10/2023,Leslieville Fourplex,Unit 4, Plumbing ,310.97,TRUE,Beaches Plumbing Co.,Cleared bathroom drain
2023/10/06,Parkdale Walk-Up,Unit 7,Landscaping,227.59,yes,Greenwood Cleaning,Leaf cleanup
24/10/2023,Leslieville Fourplex,Unit 2,Plumbing,287.91,Y,Beaches Plumbing Co.,Fixed running toilet
2023-10-21,Leslieville Fourplex,Unit 1,Appliance,192.16,Y,Riverdale Appliance Repair,Stove element replaced
2023-10-01,Parkdale Walk-Up,Unit 3,Plumbing,357.79,Y,Beaches Plumbing Co.,Cleared bathroom drain
2023-10-10,Danforth Triplex,Lower,Cleaning,167.20,Y,Greenwood Cleaning,Common area clean
2023/10/07,Leslieville Fourplex,Unit 4,Plumbing,461.84,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2023-10-26,Parkdale Walk-Up,Unit 9,Appliance,165.86,Yes,Riverdale Appliance Repair,Stove element replaced
2023-10-16,Parkdale Walk-Up,Unit 7,Snow Removal,139.25,FALSE,Snowline Property Services,Walkway and steps cleared
30/10/2023,Parkdale Walk-Up,Unit 1,Cooling,191.54,TRUE,Don Valley HVAC,Window unit replaced
2023-10-05,Danforth Triplex,Lower,Appliance,$146.11,Y,Riverdale Appliance Repair,Dryer belt replaced
2023-10-25,Parkdale Walk-Up,Unit 7,Cooling,385.93,Y,Don Valley HVAC,Window unit replaced
2023-10-29,Leslieville Fourplex,Unit 2,Pest Control,334.29,Y,Queen West Pest Control,Follow-up treatment
2023-10-25,Leslieville Fourplex,Unit 3,Cleaning,93.56,Y,Greenwood Cleaning,Turnover clean
2023-10-03,Danforth Triplex,Main,Landscaping,176.22,Y,Greenwood Cleaning,Lawn cut and edging
2023-10-10,Leslieville Fourplex,Common area,Electrical,$266.69,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2023-10-10,Danforth Triplex,Common area,Snow Removal,72.24,Y,Snowline Property Services,Salted front steps
2023-10-19,Danforth Triplex,Common area,Plumbing,405.11,Yes,Beaches Plumbing Co.,Replaced shut-off valve
2023-10-30,Parkdale Walk-Up,Common area,Cleaning,96.62,Y,Greenwood Cleaning,Turnover clean
11/10/2023,Leslieville Fourplex,Unit 4,Plumbing,395.10,FALSE,Beaches Plumbing Co.,Cleared bathroom drain
09/10/2023,Danforth Triplex,Lower,Cleaning,158.94,Yes,Greenwood Cleaning,Turnover clean
2023-10-07,Leslieville Fourplex,Unit 2,Cooling,406.55,Y,Don Valley HVAC,"AC not cooling, recharged"
2023-11-01,Danforth Triplex,Main,Rent,2204,no,,
2023-11-02  ,Danforth Triplex,Upper,Rent,"$2,460.00",Y,,
2023-11-03,Danforth Triplex,Lower,Rent,1691,Y,,
2023-11-01,Leslieville Fourplex,Unit 3,Rent,2101,No,,
2023-11-02,Leslieville Fourplex,Unit 4,RENT,2306.00,Y,,
2023-11-01,Parkdale Walk-Up,Unit 1,Rent,1589.00,Yes,,
2023/11/01,Parkdale Walk-Up,Unit 3,Rent,TBD,Y,,
"Nov 5, 2023",Parkdale Walk-Up,Unit 4,Rent,1727,Y,,
2023-11-02,Parkdale Walk-Up,Unit 5,Rent,1773,yes,,
2023-11-01,Parkdale Walk-Up,Unit 6,Rent,1819.00,Y,,
2023-11-01,Parkdale Walk-Up,Unit 7,Rent,1865,N,,
2023-11-01,Parkdale Walk-Up,Unit 8,Rent,1912,Y,,
"Nov 1, 2023",Parkdale Walk-Up,Unit 9,Rent,1958.00,Y,,
2023-11-03,Parkdale Walk-Up,Unit 10,RENT,2004.00,Y,,
2023-11-01,Parkdale Walk-Up,Unit 11, Rent ,2050.00,yes,,
01/11/2023,Parkdale Walk-Up,Unit 12,Rent,2096.00,Y,,
2023-11-17,Danforth Triplex,Lower,Pest Control,286.04,Y,Queen West Pest Control,"Mice treatment, basement"
2023-11-06,Danforth Triplex,Common area,Heating,347.48,Y,Don Valley HVAC,Bled radiators
2023-11-19,danforth triplex,Common area,pest control,123.24,Y, Queen West Pest Control,"Mice treatment, basement"
2023-11-03,Parkdale Walk-Up,Unit 8,APPLIANCE,474.14,yes,Riverdale Appliance Repair,Stove element replaced
2023-11-13,Parkdale Walk-Up,Unit 9,Plumbing,385.50,Y,Beaches Plumbing Co.,Replaced shut-off valve
2023-11-27,Parkdale Walk-Up,Unit 11,Electrical,301.10,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2023-11-12,Parkdale Walk-Up,Unit 3,Appliance,449.83,yes,Riverdale Appliance Repair,Stove element replaced
2023-11-21,Leslieville Fourplex,Unit 1,plumbing,359.45,Y,Beaches Plumbing Co.,Cleared bathroom drain
17/11/2023,Danforth Triplex,Lower,Appliance,256.76,Yes,Riverdale Appliance Repair,Stove element replaced
2023-11-14,Parkdale Walk-Up,Unit 6,Plumbing,$262.92,yes,Beaches Plumbing Co.,Replaced shut-off valve
2023-11-19,Leslieville Fourplex,Unit 1,Plumbing,499.27,Y,Beaches Plumbing Co.,Replaced shut-off valve
2023-11-25,Danforth Triplex,Common area,Cleaning,68.50,Y,Greenwood Cleaning,Turnover clean
21/11/2023,Leslieville Fourplex,Unit 1,Snow Removal,320.36,Y,Snowline Property Services,Walkway and steps cleared
2023-11-10,Danforth Triplex,Upper,Electrical,707.81,Y, Leslieville Electric Ltd,Replaced GFCI outlet
2023-11-06,Danforth Triplex,Upper,Pest Control,265.30,Y,Queen West Pest Control,"Mice treatment, basement"
2023-11-16,Leslieville Fourplex,Unit 4,Cooling,461.11,TRUE,Don Valley HVAC,Window unit replaced
2023-11-01,Leslieville Fourplex,Common area,cooling,492.56,Y,Don Valley HVAC,Window unit replaced
2023-11-22,Danforth Triplex,Upper,Pest Control,346.61,Y,Queen West Pest Control,"Mice treatment, basement  "
2023-11-19,Leslieville Fourplex,Unit 1,Plumbing,242.22,Y,Beaches Plumbing Co.,Fixed running toilet
2023/12/05,danforth triplex,Main,Rent,"$2,204.00",Y,,
2023-12-02,Danforth Triplex,Lower,Rent,"$1,691.00",Y,,
2023-12-01,Leslieville Fourplex,Unit 2,Rent,1999,Y,,
2023/12/01  ,Leslieville Fourplex,Unit 3,Rent,2101.00,Y,,
03/12/2023,Leslieville Fourplex,Unit 4,Rent,2306.00,Yes,,
2023-12-03, Parkdale Walk-Up ,Unit 1,Rent,1589.00,Y,,
2023-12-01,Parkdale Walk-Up,Unit 2,Rent,1635.00,Y,,
2023-12-02,Parkdale Walk-Up,Unit 3,Rent,1681,yes,,
2023-12-02,Parkdale Walk-Up,Unit 4,Rent,1727.00,Y,,
2023-12-05,Parkdale Walk-Up,Unit 5,Rent,1773.00,N,,
2023-12-01,Parkdale Walk-Up,Unit 6,Rent,1819,Y,,
2023-12-01,Parkdale Walk-Up,Unit 7,Rent,1865.00,N,,
03/12/2023,Parkdale Walk-Up,Unit 8,Rent,1912.00,yes,,
"Dec 5, 2023",Parkdale Walk-Up,Unit 9,Rent,1958.00,Y,,
2023-12-01,Parkdale Walk-Up,Unit 10,Rent,2004,Yes,,
2023-12-01,Parkdale Walk-Up,Unit 11,Rent,2050.00,Yes,,
2023-12-05,Parkdale Walk-Up,Unit 12,Rent,2096,Y,,
